Дата совершенной транзакции;Уникальный идентификатор клиента;Количество разных версий ОС (os_ver) за последние 30 дней до transdate — сколько разных ОС/версий использовал клиент;Количество разных моделей телефона (phone_model) за последние 30 дней — насколько часто клиент “менял устройство” по логам;Модель телефона из самой последней сессии (по времени) перед transdate;Версия ОС из самой последней сессии перед transdate;Количество уникальных логин-сессий (минутных тайм-слотов) за последние 7 дней до transdate;Количество уникальных логин-сессий за последние 30 дней до transdate;Среднее число логинов в день за последние 7 дней: logins_last_7_days / 7;Среднее число логинов в день за последние 30 дней: logins_last_30_days / 30;"Относительное изменение частоты логинов за 7 дней к средней частоте за 30 дней:
(freq7d?freq30d)/freq30d(freq_{7d} - freq_{30d}) / freq_{30d}(freq7d?freq30d)/freq30d — показывает, стал клиент заходить чаще или реже недавно";Доля логинов за 7 дней от логинов за 30 дней;Средний интервал (в секундах) между соседними сессиями за последние 30 дней;Стандартное отклонение интервалов между логинами за 30 дней (в секундах), измеряет разброс интервалов;Дисперсия интервалов между логинами за 30 дней (в секундах?), ещё одна мера разброса;Экспоненциально взвешенное среднее интервалов между логинами за 7 дней, где более свежие сессии имеют больший вес (коэффициент затухания 0.3);Показатель “взрывности” логинов: (std?mean)/(std+mean)(std - mean)/(std + mean)(std?mean)/(std+mean) для интервалов;Fano-factor интервалов: variance / mean;Z-скор среднего интервала за последние 7 дней относительно среднего за 30 дней: насколько сильно недавние интервалы отличаются от типичных, в единицах стандартного отклонения
transdate;cst_dim_id;monthly_os_changes;monthly_phone_model_changes;last_phone_model_categorical;last_os_categorical;logins_last_7_days;logins_last_30_days;login_frequency_7d;login_frequency_30d;freq_change_7d_vs_mean;logins_7d_over_30d_ratio;avg_login_interval_30d;std_login_interval_30d;var_login_interval_30d;ewm_login_interval_7d;burstiness_login_interval;fano_factor_login_interval;zscore_avg_login_interval_7d
'2025-03-05 00:00:00.000';453024373;2;2;Vivo V2116;Android/13;6;20;0.8571428571428571;0.6666666666666666;0.2857142857142857;0.3;131460.0;213919.47830901234;45761543200;23007.164409515124;0.23875037020941794;348102.41290126275;-0.22107383756651397
'2025-05-19 00:00:00.000';498636442;1;1;Xiaomi_m2006c3mg;Android/10;2;22;0.2857142857142857;0.7333333333333333;-0.6103896103896104;0.09090909090909091;101520.0;82733.72644157334;6844869490.909091;178980.0;-0.101958717043282;67423.85235332044;0.9362566311418639
'2025-08-04 00:00:00.000';2934905461;1;1;iPhone16,1;iOS/18.5;2;2;0.2857142857142857;0.06666666666666667;3.2857142857142856;1.0;67800.0;-1.0;-1.0;67800.0;-1.0;-1.0;-1.0
'2025-03-05 00:00:00.000';456173125;1;2;Vivo V2058;Android/13;5;37;0.7142857142857143;1.2333333333333334;-0.42084942084942084;0.13513513513513514;61394.59459459459;76777.32139819076;5894757081.081081;9400.733944954127;0.11133034302281353;96014.26835710513;-0.5087386989189104
'2025-06-26 00:00:00.000';2933725046;1;1;iPhone12,1;iOS/17.6.1;37;119;5.285714285714286;3.966666666666667;0.33253301320528206;0.31092436974789917;22751.5;33089.10167762088;1094888649.8319328;18828.50448742834;0.1851269751229034;48123.8006211429;-0.23169260001957312
'2025-05-19 00:00:00.000';452718092;4;2;Xiaomi_poco_f2_pro;Android/12;29;109;4.142857142857143;3.6333333333333333;0.14023591087811282;0.26605504587155965;21516.992481203008;30261.84701609769;915779384.8257006;14783.05447016053;0.16888857726041862;42560.75218810039;-0.10212740511609948
'2025-08-04 00:00:00.000';454061799;1;2;Samsung SM-A556E;Android/15;4;21;0.5714285714285714;0.7;-0.18367346938775508;0.19047619047619047;102855.0;160307.32049804574;25698437005.263157;278211.3669064748;0.21831514629189622;249851.1205606257;0.17744043074032145
'2025-06-26 00:00:00.000';465356982;1;1;OPPO CPH2477;Android/12;0;24;0.0;0.8;-1.0;0.0;63817.77777777778;118064.0891580414;13939129148.717949;-1.0;0.29825024503077907;218420.7854628831;-1.0
'2025-03-05 00:00:00.000';2938000220;2;3;Samsung SM-S928B;Android/14;14;36;2.0;01.фев;0.6666666666666667;0.3888888888888889;77395.13513513513;80874.18547148204;6540633875.675675;110727.7646075592;0.02198183654932203;84509.62536928782;-0.4601989107060125
'2025-03-05 00:00:00.000';499704441;1;2;Samsung SM-A105F;Android/11;28;67;4.0;2.2333333333333334;0.7910447761194029;0.417910447761194;39637.2972972973;87633.35658934835;7679605187.115883;7374.28762644666;0.37711803802626026;193746.94317615652;-0.28778447501102455
