Уникальный идентификатор клиента;Дата совершенной транзакции;Дата и время совершенной транзакции;Сумма совершенного перевода;Уникальный идентификатор транзакции;Зашифрованный идентификатор получателя/destination транзакции;Размеченные транзакции(переводы), где 1 - мошенническая операция , 0 - чистая
cst_dim_id;transdate;transdatetime;amount;docno;direction;target
2937833270;'2025-01-05 00:00:00.000';'2025-01-05 16:32:02.000';31000.0;5343;8406e407421ec28bd5f445793ef64fd1;0
2096229005;'2025-03-04 00:00:00.000';'2025-03-04 17:41:57.000';4000.0;8442;b3a3d4a6006293195d998957d4f01e42;0
2937759666;'2025-06-20 00:00:00.000';'2025-06-20 10:08:07.000';3000.0;9540;22b84292f0ebce65ad0808342615a03b;0
2933493153;'2025-07-06 00:00:00.000';'2025-07-06 14:52:13.000';500.0;11685;d677d4e1a0f625e1ad746ea950c9dca9;0
456000634;'2024-12-18 00:00:00.000';'2024-12-18 14:12:25.000';20000.0;7128;87b698d1edae13c21ce86678de3b8546;0
456175450;'2025-08-02 00:00:00.000';'2025-08-02 14:27:41.000';18000.0;11883;ba51c27740a3fa59e298274df7380ef2;0
2937698824;'2025-02-11 00:00:00.000';'2025-02-11 21:03:45.000';27880.0;4262;df9a3b9f0e23b5187cb5c867619be00d;0
2935544871;'2025-02-05 00:00:00.000';'2025-02-05 22:46:22.000';750.0;11252;264056829227ea7fbaf46fad95ca6ed6;0
2937607295;'2025-01-21 00:00:00.000';'2025-01-21 13:43:18.000';1000.0;1322;45a3449f6dc285f6c7c5d4a2dc1fdcbb;0
2938774348;'2025-03-30 00:00:00.000';'2025-03-30 21:14:54.000';7000.0;7602;827fb586666a9e0ac752ea4218cb9975;0
2935588230;'2025-02-22 00:00:00.000';'2025-02-22 09:57:59.000';3000.0;12036;f0d722fe560b8d757294b6eb9a17739b;0
2112406217;'2025-07-02 00:00:00.000';'2025-07-02 10:11:43.000';2100.0;5708;570ffa383ca2ab5a2917f63b93a2028c;0
456064118;'2025-03-25 00:00:00.000';'2025-03-25 11:47:25.000';1500.0;11958;dadb8057d800959fbd62aa66e33e2cbb;0
2935588230;'2025-02-11 00:00:00.000';'2025-02-11 19:35:29.000';8000.0;2156;f0d722fe560b8d757294b6eb9a17739b;0
465356982;'2025-01-12 00:00:00.000';'2025-01-12 15:58:10.000';3000.0;9965;9030efc541153c7eb82a2280c59cda34;0
2933493153;'2025-04-12 00:00:00.000';'2025-04-12 18:21:05.000';2000.0;10093;d677d4e1a0f625e1ad746ea950c9dca9;0
452154710;'2025-04-22 00:00:00.000';'2025-04-22 13:24:38.000';1800.0;10137;c2082f252fbcbf42f0f876f183207314;0
2938063812;'2024-12-21 00:00:00.000';'2024-12-21 19:27:04.000';100000.0;10527;d292c2df4f2fa352578fdc6ad1aee458;0
2937607295;'2025-02-11 00:00:00.000';'2025-02-11 22:31:16.000';12000.0;12386;57aecc7efc126cb5aa67cfa4bde43cb9;0
456591642;'2025-02-11 00:00:00.000';'2025-02-11 15:02:35.000';45000.0;9158;59fb538d5c6a9b5853b5787a29c02102;0
2112800905;'2025-02-17 00:00:00.000';'2025-02-17 15:32:05.000';5000.0;12260;58c024783fc1bd4d7b14e3b4dd2221c3;0
497566784;'2025-06-20 00:00:00.000';'2025-06-20 16:16:39.000';33625.0;12638;4e2937106cfbc9ebe27a335e05da57ad;0
2937778211;'2025-02-04 00:00:00.000';'2025-02-04 16:13:05.000';20000.0;374;b49b59c3f532de501500eb6ac7a1ffb5;0
452966691;'2025-01-05 00:00:00.000';'2025-01-05 14:10:16.000';4000.0;1052;7e3830bca9829bf5050092686bc822f4;0
2935588230;'2024-12-09 00:00:00.000';'2024-12-09 19:16:12.000';190000.0;6248;f0d722fe560b8d757294b6eb9a17739b;0
454061799;'2025-08-27 00:00:00.000';'2025-08-27 09:54:37.000';1000.0;8719;da9e3968c1674324b56aa98463fd4b10;0
452966691;'2025-05-05 00:00:00.000';'2025-05-05 01:36:20.000';20000.0;3513;c4ea468194fa3162a9e67d10a761d7bb;0
2937630576;'2025-05-02 00:00:00.000';'2025-05-02 20:48:44.000';1000.0;4746;142fb99b4b6a17e93c69436463fe45bb;0
2937755639;'2025-05-28 00:00:00.000';'2025-05-28 11:38:24.000';5500.0;5932;a3837d17a8a0a577a1285c5ddf19ad62;0
456355739;'2025-06-26 00:00:00.000';'2025-06-26 09:40:20.000';10000.0;6460;5474be9abe881a40790bdaa1d324f43b;0
456064118;'2025-03-25 00:00:00.000';'2025-03-25 09:28:42.000';3000.0;6935;dadb8057d800959fbd62aa66e33e2cbb;0
452518788;'2025-01-25 00:00:00.000';'2025-01-25 11:47:45.000';90000.0;9975;7d3fbd4cb8e16a0660c28187bc53fda8;0
456575558;'2025-01-17 00:00:00.000';'2025-01-17 10:12:06.000';4000.0;11115;881634846ca132371fed390271a7b096;0
2683930531;'2025-03-12 00:00:00.000';'2025-03-12 20:08:57.000';1864.0;1099;6208ba4394c05186d14887ec3c368507;0
455296083;'2025-06-17 00:00:00.000';'2025-06-17 17:13:10.000';1000.0;10235;e3938781b3f7e10cb4b8371410945a3c;0
450724681;'2025-02-18 00:00:00.000';'2025-02-18 15:50:01.000';30000.0;2459;b1bad967c9a07c387478a24f700412f8;0
451004861;'2025-06-02 00:00:00.000';'2025-06-02 09:22:18.000';2349.0;4361;b068ac1bd3e85db9c03a5f75f2f6854d;0
2937708912;'2025-08-02 00:00:00.000';'2025-08-02 09:22:44.000';9200.0;6067;53ab4c088c9e9b1a6618738099b22b74;0
452274831;'2025-02-05 00:00:00.000';'2025-02-05 08:50:55.000';50000.0;6804;eb73122c4d7478bb4e3189b32630c20c;0
2933375279;'2025-05-02 00:00:00.000';'2025-05-02 06:55:55.000';4000.0;6911;0c1de05ea765df1559aabe6d5e076133;0
501247811;'2024-12-06 00:00:00.000';'2024-12-06 11:04:09.000';70000.0;10172;e033186a1b0a500fcfb636a1c8857b4a;0
2933493153;'2025-02-14 00:00:00.000';'2025-02-14 10:42:48.000';2000.0;10389;d677d4e1a0f625e1ad746ea950c9dca9;0
501247811;'2025-05-11 00:00:00.000';'2025-05-11 14:13:24.000';90000.0;1219;46c23bd245fddb9722935e51e4b40b8a;0
2937630576;'2025-08-08 00:00:00.000';'2025-08-08 13:16:55.000';1000.0;6543;142fb99b4b6a17e93c69436463fe45bb;0
2937833270;'2025-05-15 00:00:00.000';'2025-05-15 13:39:07.000';6700.0;10984;c592c68d54622d482ea81ebd443ffe5d;0
2934812537;'2025-01-20 00:00:00.000';'2025-01-20 07:51:50.000';1966.0;12022;62d8843059806fb72fe34d0814cc8850;0
2112334789;'2024-12-06 00:00:00.000';'2024-12-06 21:42:33.000';13000.0;5500;d5b85ff949eb8ac79d7dbc91932e892c;0
2685464175;'2025-01-08 00:00:00.000';'2025-01-08 09:55:07.000';23000.0;6016;3386a018af13333c5cadbf9541a5b1ae;0
2112688594;'2025-08-05 00:00:00.000';'2025-08-05 13:46:02.000';500.0;9053;61df2818aadd21fe4f21d2710c33890e;0
2933493153;'2025-03-19 00:00:00.000';'2025-03-19 09:46:02.000';76.0;10565;d677d4e1a0f625e1ad746ea950c9dca9;0
465356982;'2025-02-17 00:00:00.000';'2025-02-17 18:50:10.000';1000.0;11065;9030efc541153c7eb82a2280c59cda34;0
2934905461;'2025-02-24 00:00:00.000';'2025-02-24 18:19:51.000';11000.0;11211;de4a3dca5a5740eee0728b68d28e1971;0
456088424;'2025-04-14 00:00:00.000';'2025-04-14 12:26:44.000';18000.0;3613;0464cf610fd775cef7503005ac1dc8f7;0
2934295459;'2025-06-21 00:00:00.000';'2025-06-21 08:51:03.000';5000.0;5515;e1a6e2449e3ceb7a51c502c0b2c8490a;0
2933493153;'2025-07-06 00:00:00.000';'2025-07-06 14:53:57.000';500.0;6243;02c8f5199cea2983ec318dc1ecddbe00;0
2938195594;'2025-07-31 00:00:00.000';'2025-07-31 19:34:06.000';181500.0;1695;3cfde553d90d5e31a9f955309fc4f151;0
2938383494;'2025-04-01 00:00:00.000';'2025-04-01 17:21:21.000';13000.0;3247;0cde6e9f623059374889606042a920f1;0
2934812537;'2025-05-23 00:00:00.000';'2025-05-23 16:45:49.000';60000.0;7826;86dbb7bb9ea64526345ceae1d9ba2592;0
453055831;'2025-01-25 00:00:00.000';'2025-01-25 10:37:58.000';1000.0;398;1cacea3e517803f0f3ca2a7a7cee33d5;0
2683930531;'2025-03-25 00:00:00.000';'2025-03-25 00:54:16.000';1350.0;647;6208ba4394c05186d14887ec3c368507;0
2933493153;'2025-04-01 00:00:00.000';'2025-04-01 13:18:46.000';10000.0;9652;356190ae6089aa2c604e435f78e68a68;0
456167524;'2025-05-03 00:00:00.000';'2025-05-03 17:50:22.000';10000.0;7;68d6b46306e875bfe51d6b5ab278f88b;0
2937607295;'2025-04-01 00:00:00.000';'2025-04-01 19:44:41.000';11000.0;14;bf7d6636faaa189d75afc9e348bfce49;0
2933375279;'2025-03-17 00:00:00.000';'2025-03-17 16:59:15.000';20000.0;25;0c1de05ea765df1559aabe6d5e076133;0
2937859498;'2024-12-07 00:00:00.000';'2024-12-07 01:16:50.000';576.0;45;1f1ec07ffa06b3258d49beb4fb3d9f63;0
2934079753;'2025-04-12 00:00:00.000';'2025-04-12 21:49:19.000';10000.0;5256;0afb567220cdc0a2aa1a11662c259256;0
452910230;'2025-06-04 00:00:00.000';'2025-06-04 09:06:39.000';20000.0;5620;0d03921c089363718479d98df30b5aad;0
2094903392;'2025-06-04 00:00:00.000';'2025-06-04 13:01:40.000';20000.0;6299;22d0ae50c6c7c2b0d44c836ee8dbf494;0
2938150265;'2025-03-14 00:00:00.000';'2025-03-14 11:52:59.000';1000.0;218;65a50ae9ab335767ef8424a233aa4620;0
453670216;'2025-04-25 00:00:00.000';'2025-04-25 15:09:05.000';203000.0;1191;e3b38cf1b8f427a21201d1f04a80d62e;0
452139692;'2025-04-20 00:00:00.000';'2025-04-20 23:11:46.000';100000.0;5052;2c535cf793c342d6f82325332e48e591;0
2112800905;'2025-08-15 00:00:00.000';'2025-08-15 12:21:25.000';2000.0;5723;c3c8daddee7d043dacec933a269a7a34;0
2685248091;'2025-07-30 00:00:00.000';'2025-07-30 16:54:42.000';96000.0;6458;3e5405501cdfe6eb9de15d1b69541e23;0
455530389;'2025-05-14 00:00:00.000';'2025-05-14 15:57:12.000';102434.0;7516;7290665ccd213227629ecc348b57346f;0
2937833270;'2025-01-06 00:00:00.000';'2025-01-06 13:58:43.000';35000.0;8819;6c72f0862be62be89e5f0fccf3eb391f;0
2935588230;'2025-06-10 00:00:00.000';'2025-06-10 14:43:40.000';1000.0;4841;f0d722fe560b8d757294b6eb9a17739b;0
2937859498;'2025-05-24 00:00:00.000';'2025-05-24 11:21:47.000';900.0;5406;1f1ec07ffa06b3258d49beb4fb3d9f63;0
2937759666;'2025-06-17 00:00:00.000';'2025-06-17 10:52:54.000';1700.0;7401;22b84292f0ebce65ad0808342615a03b;0
2095500688;'2025-08-05 00:00:00.000';'2025-08-05 12:56:58.000';124000.0;11038;8691de246262e06c8d6c31dbf2c47d8e;0
2938208716;'2025-03-27 00:00:00.000';'2025-03-27 14:45:27.000';200000.0;3451;a5c36e3f6a0c7612c7858b77ad70c8fc;0
452718092;'2025-01-31 00:00:00.000';'2025-01-31 19:25:20.000';10648.0;7246;f7492eccd201d138a6381c4c09c562e9;0
2938935117;'2025-08-08 00:00:00.000';'2025-08-08 14:46:37.000';287539.0;1421;61b2c1f7d0bb984fb788e40648b846b6;0
451013142;'2025-07-03 00:00:00.000';'2025-07-03 17:10:58.000';50000.0;2515;576cdebec728dd4ed7e4df49a0ef9d0a;0
497439421;'2025-07-23 00:00:00.000';'2025-07-23 20:21:03.000';7000.0;3952;34431a284c906108484434cf8f85a6a2;0
456156194;'2025-02-04 00:00:00.000';'2025-02-04 18:57:50.000';10000.0;7703;b749999ad5dd738f976c095995ce37cb;0
2938774348;'2025-06-19 00:00:00.000';'2025-06-19 12:27:01.000';47000.0;8389;5f58d24e7a08c46652739eab864f77b0;0
1286648072;'2024-12-27 00:00:00.000';'2024-12-27 11:38:03.000';7000.0;9104;71a9bdfa4fd933d2adeceddb449dfa22;0
2095053235;'2025-07-22 00:00:00.000';'2025-07-22 13:39:27.000';40000.0;11783;26918a5242f0425ed83663743ba4a00b;1
2937833270;'2025-06-04 00:00:00.000';'2025-06-04 16:52:57.000';150000.0;6070;e16e2f720d18a6187bd8cd1f34999adc;0
2937856609;'2025-08-27 00:00:00.000';'2025-08-27 19:54:27.000';5000.0;11664;d97536a94a2ad4f25e33a1224128a766;0
454471150;'2024-12-10 00:00:00.000';'2024-12-10 17:03:05.000';28000.0;5086;f92bbbc6d64b6312315cced7789a8937;0
2095839711;'2025-04-10 00:00:00.000';'2025-04-10 17:05:10.000';100000.0;8284;3cc4014ea29c9c6cf5e7a7449c78793a;0
2095336822;'2025-04-10 00:00:00.000';'2025-04-10 21:43:14.000';4000.0;2361;502316602f75b8b950822466b8f9a069;0
2096229005;'2025-02-06 00:00:00.000';'2025-02-06 18:47:37.000';5000.0;3955;807e1749a623cc5ca8f7b8abd863118e;0
453308233;'2025-04-29 00:00:00.000';'2025-04-29 16:28:40.000';17000.0;11291;a4e6c345e667d16776e66f9deb993213;0
465356982;'2024-12-23 00:00:00.000';'2024-12-23 08:02:03.000';500.0;9108;9030efc541153c7eb82a2280c59cda34;0
455296083;'2025-05-26 00:00:00.000';'2025-05-26 15:06:55.000';30000.0;11666;e3938781b3f7e10cb4b8371410945a3c;0
456112296;'2025-02-11 00:00:00.000';'2025-02-11 13:25:18.000';25524.5;2876;9c5f354416da59716ad24f0cfe84fb5d;0
455840377;'2025-06-17 00:00:00.000';'2025-06-17 22:16:02.000';20000.0;3341;dd9da14294c3a8db36d59ca2efcc1d35;0
2938150265;'2025-03-12 00:00:00.000';'2025-03-12 18:26:02.000';1000.0;8499;65a50ae9ab335767ef8424a233aa4620;0
452966691;'2025-05-05 00:00:00.000';'2025-05-05 20:02:01.000';13000.0;1040;c4ea468194fa3162a9e67d10a761d7bb;0
452966691;'2025-05-03 00:00:00.000';'2025-05-03 12:34:38.000';40000.0;5138;c4ea468194fa3162a9e67d10a761d7bb;0
2938023904;'2025-02-28 00:00:00.000';'2025-02-28 15:05:11.000';2000.0;5453;9da144223d8f6574c72fa67e7490a3fb;0
456173125;'2025-06-17 00:00:00.000';'2025-06-17 10:20:27.000';15000.0;7186;713801854d58bed12779369c33b87626;0
452171932;'2025-04-10 00:00:00.000';'2025-04-10 18:21:02.000';15000.0;7395;26e0a7154a1c9d2eeff33f2a7fde14b1;0
452951313;'2025-07-05 00:00:00.000';'2025-07-05 14:49:58.000';30000.0;1230;284f2dfd6013a7a30a5942eec5fa41a2;0
2938120321;'2025-03-21 00:00:00.000';'2025-03-21 14:49:14.000';152000.0;7031;2a76601894959780f41e9af8812a9b5c;0
2937607295;'2025-04-19 00:00:00.000';'2025-04-19 20:45:57.000';1244.0;11373;614243e89e6398b611b918cddceebe91;0
452966691;'2025-05-15 00:00:00.000';'2025-05-15 21:53:36.000';45000.0;1432;c4ea468194fa3162a9e67d10a761d7bb;0
2937932347;'2025-05-25 00:00:00.000';'2025-05-25 23:08:28.000';10000.0;2265;6fd44ed5dccfd0768a1c90712f9c9838;0
451004861;'2025-06-13 00:00:00.000';'2025-06-13 18:53:25.000';10000.0;3296;b068ac1bd3e85db9c03a5f75f2f6854d;0
2934704401;'2025-04-30 00:00:00.000';'2025-04-30 18:01:02.000';15000.0;5302;54dff19c6731ff0b5589627834cc6284;0
2937833270;'2025-05-02 00:00:00.000';'2025-05-02 15:34:35.000';20000.0;6609;c592c68d54622d482ea81ebd443ffe5d;0
452171932;'2025-02-06 00:00:00.000';'2025-02-06 14:09:48.000';25000.0;10578;47344e7b172a9693714f42a664759568;0
2935544871;'2025-04-01 00:00:00.000';'2025-04-01 13:25:53.000';41896.0;11503;264056829227ea7fbaf46fad95ca6ed6;0
